file_name,zero_crossing_rate,zero_crossings,spectrogram,mel_spectrogram,harmonics,perceptual_shock_wave,spectral_centroids,spectral_centroids_delta,spectral_centroids_accelerate,chroma1,chroma2,chroma3,chroma4,chroma5,chroma6,chroma7,chroma8,chroma9,chroma10,chroma11,chroma12,tempo_bpm,spectral_rolloff,spectral_flux,spectral_bandwidth_2,spectral_bandwidth_3,spectral_bandwidth_4,mfcc0,mfcc_delta_0,mfcc_accelerate_0,mfcc1,mfcc_delta_1,mfcc_accelerate_1,mfcc2,mfcc_delta_2,mfcc_accelerate_2,mfcc3,mfcc_delta_3,mfcc_accelerate_3,mfcc4,mfcc_delta_4,mfcc_accelerate_4,mfcc5,mfcc_delta_5,mfcc_accelerate_5,mfcc6,mfcc_delta_6,mfcc_accelerate_6,mfcc7,mfcc_delta_7,mfcc_accelerate_7,mfcc8,mfcc_delta_8,mfcc_accelerate_8,mfcc9,mfcc_delta_9,mfcc_accelerate_9,mfcc10,mfcc_delta_10,mfcc_accelerate_10,mfcc11,mfcc_delta_11,mfcc_accelerate_11,mfcc12,mfcc_delta_12,mfcc_accelerate_12,mfcc13,mfcc_delta_13,mfcc_accelerate_13,mfcc14,mfcc_delta_14,mfcc_accelerate_14,mfcc15,mfcc_delta_15,mfcc_accelerate_15,mfcc16,mfcc_delta_16,mfcc_accelerate_16,mfcc17,mfcc_delta_17,mfcc_accelerate_17,mfcc18,mfcc_delta_18,mfcc_accelerate_18,mfcc19,mfcc_delta_19,mfcc_accelerate_19
1-100032-A-0.wav,0.1371556332236842,1352,-78.52235,-80.0,-4.9093355e-08,-1.7374609e-06,2172.3172856943147,37.292653351891325,36.79211645138609,0.42610255,0.5401806,0.443522,0.20936419,0.14735758,0.21071057,0.19291492,0.2856101,0.7398325,0.7706904,0.27813756,0.2574362,117.45383522727273,3231.1137952302633,2.864664,1827.7266559552088,2551.450260941392,3190.3139390741767,-309.9954,-10.1855755,-15.975147,53.83322,-1.9570512,-3.2950242,-97.16468,1.9788337,4.865708,-48.154377,1.1545376,2.2287083,-9.768207,1.3067688,0.3981948,-21.975863,1.9223723,1.5238981,-3.804893,0.5590165,0.18156809,9.835398,0.64656013,-0.76209074,8.891524,0.014538401,-0.9165553,5.4547997,-0.17941637,-0.83285826,-5.855295,-0.37774855,0.19721553,-2.37024,0.07320953,0.30036935,-10.208957,0.96105814,0.69707835,5.6400485,-0.5770376,-0.0053675156,-1.3128974,-0.42441213,0.13652426,-3.4117677,-0.4236114,0.16057225,-13.035714,0.19811334,0.4974432,-0.68772465,0.034701418,0.1545723,-1.7873013,0.3385748,-0.044655357,5.6969304,-0.124497265,-0.09508532
1-100038-A-14.wav,0.30372676142939814,33713,-79.619576,-80.0,-4.5139407e-07,-1.8758379e-06,3851.174848230887,-0.3598503472987165,0.5708217322323142,0.19615221,0.2402935,0.25486913,0.47914007,0.4274409,0.36711094,0.35370004,0.40792146,0.4927302,0.31278569,0.21220092,0.20662662,135.99917763157896,6358.4259033203125,1.3055278,2244.983229677568,2605.2550862060134,2921.7037180530206,-194.22542,-0.050121766,0.11046162,3.4621599,0.07187051,-0.040466193,-60.112965,0.06591148,0.027151775,5.19099,0.11383473,0.046305105,-48.625175,-0.020199588,0.0475703,-27.346413,-0.01136484,0.007243585,-31.650948,-0.104900874,0.061475772,-6.0473905,0.087269306,0.058567647,-38.830006,0.018313512,0.03757002,-13.620305,0.015047709,-0.011386709,-18.264181,0.11475924,0.012662707,-20.936745,0.1089476,0.014566008,-14.13604,-0.19660394,0.04483571,-12.881675,0.059074435,0.018958831,-11.769747,0.05900697,0.009916618,-9.075668,0.01168281,-0.020744504,-9.152257,-0.00797915,0.025203038,-0.16697298,0.12907718,0.036695305,-6.8492513,-0.122813575,0.06309649,9.602473,0.013094672,-0.017731367
1-100210-A-36.wav,0.3853624131944444,42736,-25.516459,-25.27776,0.0003343317,0.00028524862,3417.2877809490396,9.38972963780968,-3.01961950673636,0.15912168,0.25361162,0.32465369,0.8617248,0.17215075,0.09003682,0.09725489,0.10270853,0.09810248,0.10670408,0.10614148,0.13219506,135.99917763157896,6442.4652099609375,0.94139516,2742.446147537043,3102.3147921218942,3423.814884505188,15.872097,0.49277255,0.01057024,57.773525,-0.33501342,0.14088537,-9.830812,-0.014420911,0.03552185,15.996923,-0.040813897,-0.07282624,-13.768987,0.0010482713,-0.024823984,12.996223,0.0034135955,-0.044662826,1.3583109,0.028123392,0.029643945,7.450269,0.07390192,-0.03675507,4.6660924,0.094396256,-0.09626499,-5.405442,-0.049548917,0.01784528,-2.4860718,0.09247546,0.03054405,15.447698,0.020409312,-0.058646306,0.5435581,0.0656781,0.03624318,24.435293,0.044108167,-0.029813718,-9.65268,-0.03171002,0.0036806455,7.8790092,-0.06260328,0.008065648,0.9084178,-0.018183835,0.006976494,3.5255284,-0.01740143,0.004779601,4.3723454,-0.027157608,-0.016638763,1.4866223,0.0036725954,-0.011068278
1-100210-B-36.wav,0.38697871455439814,42960,-23.186314,-19.534399,0.00034625077,2.8250945e-05,3495.7926694031803,0.26446432147122917,0.8749002610838318,0.1435214,0.21176377,0.268447,0.47507223,0.841311,0.12677209,0.11750127,0.120593175,0.12940414,0.12948102,0.124865055,0.13130853,107.666015625,6746.870930989583,0.8878194,2823.7447742744007,3178.8732373008816,3493.874989444379,17.354214,-0.38252404,-0.0152574405,55.675022,0.0101641845,-0.020116232,-8.102072,-0.08096347,-0.0010576631,14.46474,-0.0044044596,-0.024237659,-10.375936,-0.02461042,-0.014286662,13.430967,-0.032496266,-0.018764429,2.4944546,-0.054053374,0.009158791,5.8531756,0.0041236966,-0.008030816,3.6240392,-0.10360182,-0.007564349,-4.9073544,0.0012294739,-0.016472291,-0.09280537,-0.00992633,0.015704036,14.56764,-0.058705278,-0.006391268,0.9443679,-0.021609591,-0.03694233,23.525621,-0.020900737,-4.104442e-05,-8.815382,-0.005294462,0.034150597,7.645931,-0.0052408376,0.024693735,1.6143129,-0.06906525,-0.0039704572,4.568078,0.08174716,0.003907045,5.158869,-0.022472907,0.014422918,1.3223108,0.049895123,-0.015177511
1-101296-A-19.wav,0.04575376157407408,5099,-57.06795,-77.834946,1.0839922e-07,-2.9348585e-06,1448.7377149138285,-1.2093314414156198,1.769464421489825,0.5926732,0.3841781,0.22302559,0.23225279,0.35057762,0.4593489,0.4284252,0.40674436,0.55841756,0.70114815,0.6026661,0.62835455,99.38401442307692,3397.0621744791665,0.92320776,2193.9039864578654,2897.6345248435096,3522.593075561633,-423.35904,0.0012562054,-0.0067482325,125.60509,0.030102884,-0.040472157,38.066452,0.03314526,-0.027601482,35.736183,0.021036241,-0.021655913,-3.1721776,0.00025166848,-0.02097777,9.12652,-0.014207222,-0.011781756,-13.19588,-0.026265958,-0.0170537,4.988876,0.014961924,0.013980643,-1.9801186,-0.061125472,0.019649057,-8.531398,-0.023309346,0.01836475,-11.877918,0.015416984,0.0065342495,2.8104787,-0.035143644,0.02007365,-13.996722,0.021915913,0.015846347,0.7623936,0.008349132,0.0008624914,-7.9139366,-0.006337083,0.005403018,-2.1028368,0.003358729,0.0069597163,-2.6445131,-0.025410678,0.024487115,-3.609917,-0.014140288,0.013016032,-11.921077,0.019089589,-0.007649917,-0.09362927,0.005599419,-0.0030132493
1-101296-B-19.wav,0.04899540653935185,5444,-61.30622,-79.75206,-1.1658817e-06,-1.0332937e-05,1334.1957764600509,-6.012406537385654,1.1755477789931585,0.5431407,0.39831546,0.2684632,0.26849714,0.42997402,0.46228567,0.4620817,0.47329006,0.5851737,0.6619069,0.6458099,0.54370826,117.45383522727273,2597.3429361979165,0.94898,1968.7404997173192,2698.0568531734116,3340.3832796418046,-399.78458,0.22814052,-0.020219054,141.03534,0.27015236,-0.041094907,36.31141,0.14562102,-0.01949822,24.554417,0.0057688244,0.010819643,-11.506618,-0.12249296,0.015917078,7.8460073,-0.13993292,0.014373122,-10.811683,-0.10984823,-0.015089629,4.323205,-0.063302,-0.027905796,-1.1223918,-0.043931667,0.013532938,-8.071324,-0.029066887,0.028432561,-8.7520895,-0.046137843,0.0129770255,3.217839,-0.017803153,0.0207747,-14.175753,0.038362812,0.020400139,0.36860442,0.042589184,0.03515499,-7.690924,0.030643044,0.022899194,-5.113044,-0.011276669,0.016340302,-1.6439455,-0.03564005,0.028426375,-4.8411627,-0.018765626,0.005314719,-10.473393,-0.009550696,-0.005295155,0.9961549,0.0013458806,-0.017618967
1-101336-A-30.wav,0.021794755329457363,1444,-32.11791,-68.85421,-0.0015900317,-0.0015095397,884.6693499808747,6.275099206422386,8.597795797396627,0.6035589,0.91567236,0.82148826,0.5620809,0.36127898,0.2747181,0.27887082,0.32152504,0.27509856,0.27524203,0.42550522,0.53028786,161.4990234375,1677.0859829215117,2.2737727,1393.4716403783586,2111.6518699624617,2798.2918113253645,-328.8517,-1.829173,-1.4750099,176.18465,-0.78571564,-0.67026436,24.127304,0.09478869,0.0163942,31.762842,-0.060799778,-0.060758345,10.456959,0.10649891,-0.05608912,-5.991973,0.18722366,-0.066867396,-0.0755355,0.25310013,0.00034857905,11.135842,0.1711069,-0.011225937,2.2071974,-0.050009374,-0.07479398,-3.8657026,-0.059317775,-0.0053492417,-2.4894476,0.16019231,0.15846486,0.38728613,0.030406596,0.03259735,-3.88024,-0.009530079,0.01825265,-1.812635,0.063686974,0.058377735,-0.9864683,0.017067214,0.027840734,-2.9588041,-0.0074169026,0.06332901,-6.7500854,0.038003236,0.111549966,-4.38103,-0.101077475,-0.022853078,-3.1994047,0.029882526,0.046587743,-1.6740162,-0.0046286434,-0.023457268
1-101404-A-34.wav,0.21891728153935186,24264,-40.502106,-75.49872,2.8066659e-05,-2.9815592e-06,4238.9857106105765,5.223748401615475,-7.964922169501283,0.729217,0.7354588,0.67882395,0.6858932,0.64196867,0.64564174,0.6390438,0.688062,0.6998727,0.69065326,0.617078,0.6348596,117.45383522727273,7820.8892822265625,1.3171028,3020.2059229318975,3343.185298569744,3603.10796803821,-489.24414,-0.37503856,-1.0118787,11.919236,-0.009453968,0.35823998,4.0539956,-0.09615225,0.15485325,18.180922,0.033857338,0.014347131,0.3681176,-0.025130875,0.02210807,13.898329,0.062356304,-0.024913294,15.598108,0.024205778,0.008157399,15.209318,0.08770856,0.07572431,-3.9390626,0.011028182,0.09545758,7.6513157,-0.064142965,-0.013153822,1.2978758,-0.015101452,-0.001877437,6.660305,0.018737255,0.039528903,3.294164,-0.003679281,0.010812331,8.192499,-0.062556155,-0.034008842,2.587416,-0.026372027,0.020331347,4.7085342,-0.022410689,0.018644784,1.7088274,-0.06653666,0.011864646,3.6250622,0.0056126504,0.028658355,3.6538563,-0.04547499,-0.025028648,4.772311,0.003766722,0.0110817505
1-103298-A-9.wav,0.07153094256365741,7944,-20.579527,-27.447546,-0.00030013887,4.0010896e-06,2099.3063809072614,8.621705381111992,0.5958769899283636,0.5444964,0.5404859,0.6107204,0.63027835,0.6758229,0.6282361,0.6127639,0.6266167,0.6270807,0.56522053,0.59709805,0.56270534,95.703125,5176.94091796875,1.1880229,2560.761418655268,3104.8669522962323,3605.864065481044,-119.30891,0.105332695,-0.07799897,89.4611,-0.28066748,0.0046812473,4.375411,-0.09169461,0.03486301,20.03741,-0.05212389,-0.007888108,8.963633,-0.07321497,-0.019546164,40.120823,0.011434431,0.014004445,6.169645,-0.10796815,0.026031401,11.521712,0.07051378,0.013121002,-0.39126793,-0.05032413,0.020721601,14.944812,0.023307264,0.002665661,4.3862486,0.045368876,-0.018120604,6.1082726,0.012526726,-0.026077485,4.1531134,0.05182676,0.012133561,3.282622,0.06374831,-0.023357455,-2.2736702,-0.0152453855,0.026715435,4.4713483,0.0649933,0.00034858065,-2.6000857,-0.02441391,0.008582743,5.5559163,-0.04578796,-0.004085309,-0.59376764,-0.026656998,-0.020540083,4.309295,0.012900822,0.0007795018
1-103995-A-30.wav,0.019417317708333333,634,-28.239418,-26.283487,-0.00050162827,-0.00011712367,735.1080615354534,4.5088188842066,16.41852629085145,0.54310286,0.59749275,0.76885724,0.7551909,0.60683316,0.5920593,0.61259705,0.5975253,0.4275755,0.41174814,0.4397027,0.4660368,151.99908088235293,1151.66748046875,2.742382,1383.6852365545985,2230.628922979129,2994.9772871258747,-383.01187,-10.307483,1.3224561,142.75839,-2.8497074,-0.72739106,23.324083,0.9578868,-0.51823497,11.925079,0.6624224,-0.4884604,19.089968,0.24969742,-0.30052915,13.413532,0.17147785,-0.08844908,12.669267,0.25559977,-0.084090665,12.090556,0.1169436,-0.074001804,1.9515623,0.6038838,-0.16420309,9.943146,0.19752331,-0.10079257,6.7207093,0.118752494,-0.13466409,7.856828,-0.1336811,-0.07279906,8.30253,-0.24193034,-0.0026448786,9.884229,-0.39337218,0.045295812,6.515092,-0.024038758,-0.07377898,6.1554494,0.21910737,-0.0696085,9.041697,0.07297358,-0.0028504708,12.578984,0.07625166,-0.035868242,9.486353,0.12755889,-0.10832343,9.035452,-0.035793114,-0.06590035
